iteration,nb clust,tresh,execution time,distance
0,5,7,0.0536041259765625,307.4753260792701
1,5,7,0.04818248748779297,323.96639938322534
2,5,7,0.043251752853393555,304.4227710879632
3,5,7,0.036423683166503906,329.4431498521537
4,5,7,0.029850482940673828,310.24636895689076
5,5,7,0.03586697578430176,329.19335583090816
6,5,7,0.028182268142700195,327.63672709492806
7,5,7,0.02384185791015625,315.6872352227406
8,5,7,0.03033614158630371,308.7658177228577
9,5,7,0.04303383827209473,319.1509693234173
10,5,7,0.03550434112548828,301.8682650498825
11,5,7,0.03456258773803711,314.18915182342124
12,5,7,0.03310966491699219,296.0067356066841
13,5,7,0.034458160400390625,310.867532364472
14,5,7,0.0271761417388916,314.9583825512514
15,5,7,0.02109527587890625,315.1590815577924
16,5,7,0.04995250701904297,310.34948736946626
17,5,7,0.037610530853271484,314.3179681847529
18,5,7,0.041614532470703125,313.9104003972012
19,5,7,0.036346435546875,317.997491638443
20,5,7,0.03458356857299805,308.55718600796246
21,5,7,0.028165578842163086,331.3023515815001
22,5,7,0.03829550743103027,314.2643517863359
23,5,7,0.036769866943359375,303.0848772879852
24,5,7,0.03424215316772461,302.1603118275779
25,5,7,0.03341364860534668,318.88127086555136
26,5,7,0.04303455352783203,309.81413718868697
27,5,7,0.03282046318054199,327.8859044397722
28,5,7,0.038675785064697266,313.2536718945108
29,5,7,0.04488420486450195,321.3174225310676
30,5,7,0.03735089302062988,297.795895700151
31,5,7,0.03330063819885254,311.55275020474426
32,5,7,0.0441288948059082,296.0067356066841
33,5,7,0.038692474365234375,294.88711276187274
34,5,7,0.03244304656982422,301.0406889827666
35,5,7,0.03137063980102539,318.11014824463945
36,5,7,0.03423190116882324,333.0999352336071
37,5,7,0.02795267105102539,296.56693670301695
38,5,7,0.0338587760925293,327.4194969631897
39,5,7,0.03536558151245117,305.1822437333831
40,5,7,0.0350337028503418,318.75267936621395
41,5,7,0.032120466232299805,316.9008317811934
42,5,7,0.029956579208374023,307.618912884311
43,5,7,0.03925347328186035,310.67625848216824
44,5,7,0.03311300277709961,323.99484366084147
45,5,7,0.033548831939697266,316.90788839572934
46,5,7,0.04380917549133301,312.4687357528467
47,5,7,0.03490638732910156,302.91625195774276
48,5,7,0.033739328384399414,329.99763262875985
49,5,7,0.03238511085510254,303.19421344030786
